Topicname,Tablename,Category,Tolerated,ErrorID,Description,Description2,Line,Y,X,ObjID,Num
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,20683,611512.035,233933.110,2451,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,20683,611512.035,233933.110,2451,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,20684,611548.559,233899.497,2452,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,20684,611548.559,233899.497,2452,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,20685,611502.340,233901.842,2453,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,20685,611502.340,233901.842,2453,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,20686,611498.615,233939.078,2454,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,20686,611498.615,233939.078,2454,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,20687,611961.537,233890.793,2455,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,20687,611961.537,233890.793,2455,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,20688,611967.154,233884.609,2456,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,20688,611967.154,233884.609,2456,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,20689,611868.780,233681.721,2457,
