Topicname,Tablename,Category,Tolerated,ErrorID,Description,Description2,Line,Y,X,ObjID,Num
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,29463,611965.166,233780.418,1945,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,29464,612009.683,233778.147,1946,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,29464,612009.683,233778.147,1946,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,29465,612019.138,233775.726,1947,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,29465,612019.138,233775.726,1947,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,29466,611968.882,233771.913,1948,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,29466,611968.882,233771.913,1948,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,29467,611743.584,234268.313,1949,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,29467,611743.584,234268.313,1949,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,29468,611753.890,234241.594,1950,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,29468,611753.890,234241.594,1950,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,29469,611775.343,234245.610,1951,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,29469,611775.343,234245.610,1951,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,29470,611786.782,234230.757,1952,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,29470,611786.782,234230.757,1952,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,29471,611554.438,234521.874,1953,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,29471,611554.438,234521.874,1953,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,29472,611788.603,233626.436,1954,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,29472,611788.603,233626.436,1954,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,29473,611719.416,233682.584,1956,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,29473,611719.416,233682.584,1956,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,29474,611478.804,233952.290,1957,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,29474,611478.804,233952.290,1957,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,29475,611752.941,233663.693,1958,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,29475,611752.941,233663.693,1958,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,29476,611488.610,233924.615,1959,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,29476,611488.610,233924.615,1959,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,29477,611647.558,233384.787,1960,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,29477,611647.558,233384.787,1960,
